name,mean,std,rank,type,votes,url
可塑性记忆,7.506,1.28,1502,Game,160,https://bangumi.tv/subject/183217
尸体派对 Tortured Souls,5.992,1.49,7768,Anime,2912,https://bangumi.tv/subject/58957
AIR,7.953,1.282,266,Anime,13205,https://bangumi.tv/subject/234
DARLING in the FRANXX,6.183,1.736,7064,Anime,14374,https://bangumi.tv/subject/218711
巨虫列岛,4.218,1.662,9918,Anime,395,https://bangumi.tv/subject/289856
鬼灭之刃 游郭篇,7.294,1.055,1457,Anime,11980,https://bangumi.tv/subject/328195
鬼灭之刃 无限列车篇,7.306,1.072,1424,Anime,9885,https://bangumi.tv/subject/350764
剧场版 鬼灭之刃 无限列车篇,7.214,1.133,1740,Anime,7601,https://bangumi.tv/subject/291494
玉子市场,7.27,1.113,1539,Anime,14769,https://bangumi.tv/subject/55113
BanG Dream! Episode of Roselia Ⅰ : 约定,6.33,1.24,6173,Anime,1132,https://bangumi.tv/subject/305058
MyGO!!!!!成员的日常生活,6.412,1.228,5583,Anime,648,https://bangumi.tv/subject/448391
CLANNAD 〜AFTER STORY〜,9.152,1.294,2,Anime,30517,https://bangumi.tv/subject/876
游戏人生 零,8.152,1.172,153,Anime,18801,https://bangumi.tv/subject/187276
JOJO的奇妙冒险 石之海 第3部分,7.06,1.12,2338,Anime,5957,https://bangumi.tv/subject/395782
特别篇 吹响吧！上低音号～合奏比赛～,7.504,0.971,893,Anime,6496,https://bangumi.tv/subject/386195
哈尔的移动城堡,7.85,1.113,349,Anime,11764,https://bangumi.tv/subject/312
突击莉莉 BOUQUET,6.051,1.169,7566,Anime,2929,https://bangumi.tv/subject/292712
补习部的一天,6.739,1.224,0,Anime,23,https://bangumi.tv/subject/480859
蔚蓝档案 动画版,5.274,1.497,9446,Anime,3008,https://bangumi.tv/subject/416777
舰队Collection,5.637,1.583,8900,Anime,4618,https://bangumi.tv/subject/84386
JOJO的奇妙冒险,7.749,1.149,470,Anime,18166,https://bangumi.tv/subject/43558
少女与战车,7.644,1.106,640,Anime,8064,https://bangumi.tv/subject/40310
中间管理录利根川,7.144,1.09,2006,Anime,1702,https://bangumi.tv/subject/237834
小林家的龙女仆,7.426,1.003,1065,Anime,22013,https://bangumi.tv/subject/179949
赌博默示录 破戒录篇,7.784,1.044,435,Anime,4440,https://bangumi.tv/subject/12317
赌博默示录,7.927,1.053,286,Anime,6441,https://bangumi.tv/subject/3892
妖精的旋律,7.289,1.469,1484,Anime,6081,https://bangumi.tv/subject/536
极黑的布伦希尔德,5.889,1.423,8121,Anime,4747,https://bangumi.tv/subject/89485
来自新世界,8.146,1.284,156,Anime,14914,https://bangumi.tv/subject/37785
One Room,6.673,1.073,4242,Anime,6692,https://bangumi.tv/subject/198395
未来日记,7.183,1.35,1851,Anime,15155,https://bangumi.tv/subject/16235
